timestep,total_heat_loss_network,total_pump_power_network
0,4654100.584560731,[112169.22865707      0.        ]
1,4650226.355063218,[112707.69346866      0.        ]
2,4664769.846243898,[110712.3374442      0.       ]
3,4655814.441674156,[111932.97614097      0.        ]
4,4662642.033287287,[118910.25801521      0.        ]
5,4658324.401068898,[119554.43816434      0.        ]
6,4635760.670254147,[123039.23378548      0.        ]
7,4621091.59756124,[125415.59691847      0.        ]
8,4625720.356443643,[128868.64652215      0.        ]
9,4633113.290987875,[127623.53685226      0.        ]
10,4627479.151585502,[128733.03608175      0.        ]
11,4615597.971155899,[130852.71699011      0.        ]
12,4617765.046817318,[137760.58157267      0.        ]
13,4602229.748238303,[140735.49266722      0.        ]
14,4587023.444236578,[143765.30941891      0.        ]
15,4590106.989183674,[143142.90114781      0.        ]
16,4564872.860474176,[165671.61638544      0.        ]
17,4571661.197876117,[164028.07243696      0.        ]
18,4588270.489475377,[160154.95878786      0.        ]
19,4595472.169264873,[158527.75460049      0.        ]
20,4599421.425563337,[209651.69691155      0.        ]
21,4591317.310290472,[212160.74921087      0.        ]
22,4616097.8039689325,[204663.08353809      0.        ]
23,4622805.76507148,[202721.46150785      0.        ]
24,4605968.781146399,[196355.30975184      0.        ]
25,4605976.588626689,[196353.09063494      0.        ]
26,4607427.742444664,[195942.88352088      0.        ]
27,4582646.949878366,[203210.31250856      0.        ]
28,4621585.986523178,[181195.19716815      0.        ]
29,4607989.118712047,[184736.79354127      0.        ]
30,4598517.667743456,[187283.79166263      0.        ]
31,4582262.242272348,[191827.29699709      0.        ]
32,4563159.714677864,[219488.86600985      0.        ]
33,4582992.828517436,[212727.28588491      0.        ]
34,4567455.4747009035,[217988.76452854      0.        ]
35,4548317.996206923,[224834.82067645      0.        ]
36,4544168.255140433,[245500.98319776      0.        ]
37,4562876.809809747,[237880.20841225      0.        ]
38,4557989.34126186,[239825.20985238      0.        ]
39,4589084.937807192,[227915.93554333      0.        ]
40,4578470.748308413,[222279.40165492      0.        ]
41,4590361.514209054,[218105.25324314      0.        ]
42,4581452.054598135,[221216.55280557      0.        ]
43,4575658.789524671,[223290.83573065      0.        ]
44,4568980.806593518,[226177.71011093      0.        ]
45,4577014.348108137,[223260.38587557      0.        ]
46,4563683.545583561,[228143.79616573      0.        ]
47,4573928.541390309,[224375.21006046      0.        ]
48,4569883.174780385,[202802.58420522      0.        ]
49,4582910.614980439,[198767.01478636      0.        ]
50,4568882.723033426,[203116.37130611      0.        ]
51,4582874.175259616,[198778.09342581      0.        ]
52,4552909.661742347,[186376.99921363      0.        ]
53,4536941.821456473,[191027.22895277      0.        ]
54,4560962.597219959,[184112.62960232      0.        ]
55,4526127.585928483,[194307.86003471      0.        ]
56,4542673.707082284,[181803.5100241      0.       ]
57,4537164.508517372,[183344.65152323      0.        ]
58,4510057.092534204,[191307.17084701      0.        ]
59,4513904.583653937,[190139.72636757      0.        ]
60,4510968.574401835,[191510.01440773      0.        ]
61,4469132.546022199,[204899.46235016      0.        ]
62,4486107.296014065,[199324.00225039      0.        ]
63,4490915.3351327395,[197776.2641082      0.       ]
64,4470973.676574216,[143852.59098518      0.        ]
65,4461868.249985094,[145775.42215934      0.        ]
66,4489303.189062824,[140142.9709366      0.       ]
67,4479588.083561979,[142080.2309376      0.       ]
68,4500439.225286638,[154996.59640585      0.        ]
69,4509962.880042082,[152895.63339296      0.        ]
70,4534488.940889569,[147750.73464188      0.        ]
71,4545807.399204993,[145489.98295823      0.        ]
72,4562136.281376823,[143451.32739956      0.        ]
73,4556973.411205208,[144454.66411373      0.        ]
74,4532234.924847238,[149390.89664469      0.        ]
75,4523998.594386976,[151112.86660706      0.        ]
76,4546218.819452116,[160790.83418326      0.        ]
77,4557281.9599482585,[158325.83613744      0.        ]
78,4564458.21856463,[156770.28743818      0.        ]
79,4584241.231150255,[152645.2111248      0.       ]
80,4578554.052853897,[152797.04629557      0.        ]
81,4570604.213052635,[154437.15027765      0.        ]
82,4581571.931224192,[152171.7083997      0.       ]
83,4534806.850906934,[162363.28360975      0.        ]
84,4542225.3450055625,[153225.27336696      0.        ]
85,4545295.53515133,[152546.43689254      0.        ]
86,4551899.575234698,[151150.41125116      0.        ]
87,4538448.273671726,[154022.71437134      0.        ]
88,4525370.905118463,[157117.3095476      0.       ]
89,4558756.089303803,[149834.74555924      0.        ]
90,4567214.49697402,[148092.01455581      0.        ]
91,4557875.211505729,[150020.36491157      0.        ]
92,4561661.856821432,[129056.35340493      0.        ]
93,4539440.565935831,[133146.26631098      0.        ]
94,4530867.541572658,[134790.1042832      0.       ]
95,4524409.547335216,[136053.66692519      0.        ]
96,4521773.684425298,[136144.89875999      0.        ]
